e	1	2	3
e	8	29	0
e	8	30	2
e	9	10	10
e	9	11	2
e	9	12	1
e	9	13	5
e	9	14	2
e	9	15	0
e	9	16	3
e	9	17	0
e	9	18	2
e	9	19	0
e	9	20	0
e	9	21	4
e	9	22	0
e	9	23	5
e	9	24	2
e	9	25	0
e	9	26	5
e	9	27	2
e	9	28	2
e	9	29	5
e	9	30	2
e	10	11	5
e	10	12	5
e	10	13	6
e	10	14	0
e	10	15	1
e	10	16	5
e	10	17	5
e	10	18	0
e	10	19	5
e	10	20	2
e	10	21	3
e	10	22	5
e	10	23	0
e	10	24	5
e	10	25	2
e	10	26	10
e	10	27	10
e	10	28	1
e	10	29	5
e	10	30	2
e	11	12	0
e	11	13	0
e	11	14	1
e	11	15	2
e	11	16	1
e	11	17	0
e	11	18	2
e	11	19	0
e	11	20	0
e	11	21	0
e	11	22	6
e	11	23	6
e	11	24	0
e	11	25	4
e	11	26	5
e	11	27	3
e	11	28	2
e	11	29	2
e	11	30	10
e	12	13	5
e	12	14	5
e	12	15	2
e	12	16	0
e	12	17	0
e	12	18	0
e	12	19	0
e	12	20	2
e	12	21	0
e	12	22	4
e	12	23	5
e	12	24	10
e	12	25	1
e	12	26	0
e	12	27	0
e	12	28	0
e	12	29	0
e	12	30	1
e	13	14	2
e	13	15	0
e	13	16	4
e	13	17	2
e	13	18	2
e	13	19	1
e	13	20	0
e	13	21	6
e	13	22	2
e	13	23	1
e	13	24	5
e	13	25	5
e	13	26	0
e	13	27	0
e	13	28	1
e	13	29	5
e	13	30	5
e	14	15	2
e	14	16	1
e	14	17	0
e	14	18	5
e	14	19	3
e	14	20	10
e	14	21	0
e	14	22	0
e	14	23	4
e	14	24	2
e	14	25	0
e	14	26	0
e	14	27	4
e	14	28	2
e	14	29	5
e	14	30	5
e	15	16	4
e	15	17	5
e	15	18	1
e	15	19	0
e	15	20	1
e	15	21	0
e	15	22	5
e	15	23	0
e	15	24	2
e	15	25	0
e	15	26	0
e	15	27	5
e	15	28	1
e	15	29	1
e	15	30	0
e	16	17	0
e	16	18	3
e	16	19	0
e	16	20	2
e	16	21	2
e	16	22	0
e	16	23	2
e	16	24	0
e	16	25	5
e	16	26	0
e	16	27	5
e	16	28	2
e	16	29	5
e	16	30	10
e	17	18	2
e	17	19	2
e	17	20	0
e	17	21	0
e	17	22	0
e	17	23	6
e	17	24	5
e	17	25	3
e	17	26	5
e	17	27	0
e	17	28	0
e	17	29	5
e	17	30	1
e	18	19	5
e	18	20	1
e	18	21	2
e	18	22	10
e	18	23	10
e	18	24	4
e	18	25	0
e	18	26	0
e	18	27	5
e	18	28	0
e	18	29	0
e	18	30	0
e	19	20	0
e	19	21	5
e	19	22	5
e	19	23	1
e	19	24	0
e	19	25	5
e	19	26	2
e	19	27	1
e	19	28	2
e	19	29	10
e	19	30	10
e	20	21	5
e	20	22	2
e	20	23	1
e	20	24	3
e	20	25	1
e	20	26	5
e	20	27	6
e	20	28	5
e	20	29	5
e	20	30	3
e	21	22	4
e	21	23	0
e	21	24	1
e	21	25	0
e	21	26	0
e	21	27	0
e	21	28	5
e	21	29	0
e	21	30	0
e	22	23	5
e	22	24	0
e	22	25	4
e	22	26	4
e	22	27	5
e	22	28	0
e	22	29	2
e	22	30	5
e	23	24	0
e	23	25	4
e	23	26	4
e	23	27	1
e	23	28	0
e	23	29	2
e	23	30	2
e	24	25	5
e	24	26	5
e	24	27	0
e	24	28	1
e	24	29	0
e	24	30	0
e	25	26	1
e	25	27	0
e	25	28	10
e	25	29	1
e	25	30	0
e	26	27	0
e	26	28	0
e	26	29	0
e	26	30	0
e	27	28	0
e	27	29	0
e	27	30	10
e	28	29	2
e	28	30	2
e	29	30	2
l	3		
l	9		
l	3		
l	7		
l	3		
l	7		
l	5		
l	9		
l	6		
l	5		
l	3		
l	9		
l	3		
l	7		
l	3		
l	7		
l	5		
l	9		
l	6		
l	5		
l	3		
l	9		
l	3		
l	7		
l	3		
l	7		
l	5		
l	9		
l	6		
l	5		

